2025-04-16 22:40:34.921,54500,55100,54500,55500,54200,54200,52800,52500,48600,49200,49600,1766400,1766400,1766400,1766400,1996800,1843200,1843200,1920000,257000000,23 %
2025-04-16 22:40:35.255,53800,52800,52500,52800,53200,52200,51900,51500,48200,48900,49200,1766400,1766400,1766400,1766400,1920000,1920000,2169600,2169600,257000000,0 %
2025-04-16 22:40:35.697,53200,53500,52800,53500,53200,53200,51900,51500,48600,48900,49600,1766400,1766400,1766400,1766400,2092800,2169600,2803200,2323200,257000000,0 %
2025-04-16 22:40:36.128,52800,53200,51900,52200,51900,51500,50500,50200,48200,48600,48900,1766400,1766400,1766400,1766400,825600,825600,825600,825600,257000000,0 %
2025-04-16 22:40:36.567,53800,52800,53200,52500,53200,52500,51200,51500,48200,49200,49200,1766400,1766400,1766400,1766400,2803200,2803200,2092800,2246400,257000000,0 %
2025-04-16 22:40:36.873,53500,52800,52500,52800,52200,51500,50900,50900,48200,49600,49200,1766400,1766400,1766400,1766400,825600,825600,825600,825600,257000000,0 %
2025-04-16 22:40:37.233,53200,53500,52500,52800,52200,53200,51500,53500,48200,48900,48900,1766400,1766400,1766400,1766400,1920000,1920000,1920000,2092800,257000000,13 %
2025-04-16 22:40:37.666,53200,53200,52500,52500,52200,52200,51200,51200,48200,48900,48600,1766400,1766400,1766400,1766400,1920000,1920000,2092800,1996800,257000000,13 %
2025-04-16 22:40:38.096,53500,53500,52200,52800,52800,52200,51200,51200,48200,48600,48600,1766400,1766400,1766400,1766400,1996800,1996800,2092800,1920000,257000000,3 %
2025-04-16 22:40:38.532,52800,52800,52500,53200,52500,51900,50900,51200,47900,48600,48900,1766400,1766400,1766400,1766400,825600,825600,825600,825600,257000000,3 %
2025-04-16 22:40:38.969,51900,53200,52500,52800,52200,51900,50900,50900,48200,48900,49200,1612800,1766400,1766400,1766400,825600,825600,825600,825600,257000000,3 %
2025-04-16 22:40:39.361,53500,52500,53500,52500,51500,51200,50500,50900,47900,48600,48600,1766400,1766400,1766400,1766400,825600,825600,825600,825600,257000000,3 %
2025-04-16 22:40:39.789,53200,52500,51900,52200,51200,51200,50500,50500,47900,48600,48600,1766400,1766400,1766400,1766400,825600,825600,825600,825600,257000000,3 %
2025-04-16 22:40:40.235,52200,51900,51900,52200,51500,51900,50900,50900,47900,48600,48600,1612800,1766400,1766400,1766400,825600,825600,825600,825600,257000000,3 %
2025-04-16 22:40:40.704,51900,52800,51900,51900,50900,50900,50200,50200,47900,48600,48600,1766400,1766400,1766400,1766400,825600,825600,825600,825600,257000000,3 %
2025-04-16 22:40:41.156,52800,52200,51900,51500,51200,50900,50500,50500,48200,48900,48600,1766400,1766400,1766400,1766400,1996800,1996800,2169600,2553600,257000000,3 %
2025-04-16 22:40:41.586,52800,53200,53200,52800,52200,52800,50900,51500,47900,48600,48600,1766400,1766400,1766400,1766400,2092800,2092800,2169600,1996800,257000000,3 %
2025-04-16 22:40:42.023,53500,52500,53500,54500,54500,57400,55500,53500,47900,48600,48900,1766400,1766400,1766400,1766400,2246400,2246400,2169600,2169600,257000000,3 %
2025-04-16 22:40:42.444,54200,52800,52800,53500,52500,52500,51900,51900,47900,48600,48600,1766400,1766400,1766400,1766400,1920000,1920000,1920000,1996800,257000000,13 %
2025-04-16 22:40:42.878,53200,52800,52200,52500,51900,51900,51200,50900,47900,48600,48900,1766400,1766400,1766400,1766400,1920000,2092800,1920000,1920000,257000000,13 %
2025-04-16 22:40:43.314,53200,51900,53200,52800,51900,54500,52500,51900,47900,48600,48600,1766400,1766400,1766400,1766400,2092800,1996800,2169600,2246400,257000000,4 %
2025-04-16 22:40:43.738,52500,53200,52200,52500,51900,51500,50500,50500,48200,48900,48900,1766400,1766400,1766400,1766400,1209600,1056000,1536000,1536000,257000000,4 %
2025-04-16 22:40:44.186,56800,56100,54800,56100,55500,54500,53200,53500,48200,49600,49600,1766400,1766400,1766400,1766400,1286400,1286400,1056000,1209600,257000000,11 %
2025-04-16 22:40:44.607,55800,54800,55100,54800,57100,55800,54800,55500,48200,49600,49600,1766400,1766400,1766400,1766400,2400000,1459200,1209600,1209600,257000000,11 %
2025-04-16 22:40:45.028,54500,55100,54200,54200,53500,53200,51900,52200,48600,49600,49600,1766400,1766400,1766400,1766400,825600,825600,825600,825600,257000000,11 %
