2025-04-16 15:18:06.995,90000,81000,82000,55000,37000,6,1803000,1803000,1803000,1803000,2253000,2253000,2252000,2252000,-6097291
2025-04-16 15:18:07.339,90000,81000,82000,55000,37000,6,1803000,1803000,1803000,1803000,2253000,2253000,2252000,2252000,-6149964
2025-04-16 15:18:07.671,89000,81000,82000,56000,37000,6,1803000,1803000,1803000,1803000,2253000,2253000,2252000,2401000,-6226837
2025-04-16 15:18:07.987,90000,81000,82000,56000,37000,6,1803000,1803000,1803000,1803000,2253000,2253000,2252000,2252000,-6028947
2025-04-16 15:18:08.319,90000,81000,82000,56000,37000,6,1803000,1803000,1803000,1803000,2253000,2253000,2252000,2252000,-6055171
2025-04-16 15:18:08.679,86000,82000,83000,56000,37000,6,1803000,1803000,1803000,1803000,2253000,2253000,2188000,2188000,-6060175
2025-04-16 15:18:09.006,90000,82000,83000,56000,37000,6,1803000,1803000,1803000,1803000,2253000,2253000,2252000,2188000,-5831239
2025-04-16 15:18:09.347,90000,82000,83000,56000,37000,6,1803000,1803000,1803000,1803000,2253000,2253000,2188000,2252000,-6160814
2025-04-16 15:18:09.700,89000,82000,83000,57000,37000,6,1803000,1803000,1803000,1803000,2253000,2253000,2188000,2188000,-6744590
2025-04-16 15:18:10.063,89000,82000,83000,57000,37000,6,1803000,1803000,1803000,1803000,2253000,2253000,2188000,2188000,-6004906
2025-04-16 15:18:10.413,89000,82000,83000,57000,37000,6,1803000,1803000,1803000,1803000,2253000,2253000,2188000,2188000,-5971244
2025-04-16 15:18:10.752,89000,82000,83000,57000,37000,6,1803000,1803000,1803000,1803000,2253000,2253000,2252000,2188000,-6997913
2025-04-16 15:18:11.083,90000,82000,83000,57000,37000,6,1803000,1803000,1803000,1803000,2253000,2253000,2188000,2188000,-5812781
2025-04-16 15:18:11.431,88000,82000,84000,57000,37000,6,1803000,1803000,1803000,1803000,2253000,2253000,2188000,2188000,-5812781
2025-04-16 15:18:11.650,90000,81000,83000,57000,37000,6,1803000,1803000,1803000,1803000,2253000,2253000,2188000,2188000,-5866481
2025-04-16 15:18:11.775,90000,81000,83000,57000,37000,6,1803000,1803000,1803000,1803000,2253000,2253000,2188000,2188000,-5866481
2025-04-16 15:18:11.908,90000,81000,83000,58000,37000,6,1803000,1803000,1803000,1803000,2253000,2253000,2188000,2188000,-5866481
2025-04-16 15:18:12.038,90000,81000,83000,58000,37000,6,1803000,1803000,1803000,1803000,2253000,2253000,2188000,2188000,-6297669
2025-04-16 15:18:12.158,90000,82000,84000,58000,37000,6,1803000,1803000,1803000,1803000,2253000,2253000,2188000,2188000,-6297669
2025-04-16 15:18:12.296,91000,81000,83000,58000,37000,6,1803000,1803000,1803000,1803000,2253000,2253000,2188000,2188000,-6287272
2025-04-16 15:18:12.427,91000,82000,83000,58000,37000,6,1803000,1803000,1803000,1803000,2253000,2253000,2048000,2048000,-6287272
